Code Postal,Ville,Pays
1210,Ferney Voltaire,France
?,?,
1231,Conches,Suisse
1630,Sergy,France 
1170,Crozet,France
1210,Versonnex,France
1280,Prévessin-Moëns,France
1208,Geneve,Suisse
1280,Prevessin-Moens,France
1630,Saint-Genis-Pouilly,France
1170,Echenevex,France
?,?,
1201,Geneve,Suisse
?,?,
74130,Petit Bornand,France
?,?,
1280,Prévessin-Moëns,
74210,VAL DE CHAISE,
74370,Villaz,
1210,Ornex,
39150,Grande Rivière,
1220,divonne,
1196,Gland,Suisse
1210,Ferney-Voltaire,
1630,Saint Genis Pouilly,
74270,Vanzy,
1203,Genève,Suisse
1210,Ferney Voltaire,
1280,Prevessin,
1210,Ferney-Voltaire,
74100,Vétraz-Monthoux,
1710,Thoiry,
1203,Geneve,Suisse
1630,Saint Genis Pouilly,
1210,Ferney-Voltaire,
1280,Prévessin-Moëns,
?,?,
1630,St Genis-Pouilly,
?,Paris,
1295,Mies,Suisse
1630,Saint-Genis-Pouilly,
1170,Gex,
1170,Crozet,France
1210,Ferney-Voltaire,
?,Chatillon en Michaille,France
?,?,
74160,Vers,
1630,PERON,
1630,St Genis Pouilly,
1170,Crozet,
1630,Saint-Genis-Pouilly,
1233,Bernex,Suisse
1210,Ferney-Voltaire,
?,?,
1205,Geneve,Suisse
1130,PLAGNE,
1204,Genève,Suisse
1210,Ferney-Voltaire,
1280,PREVESSIN-MOENS,
?,?,
?,?,
-,Genève,Suisse
01550s,Farges,
1210,Ferney-Voltaire,
1209,Genève,
1210,Ferney-Voltaire,
1201,Genève,
1280,Prévessin Moëns,France
1210,Ferney Voltaire,France
1294,Genthod,Suisse
1202,La Chaux-de-Fonds,
1210,Ferney Voltaire,à renseigner
1170,Gex,France
1210,Ornex,France
1170,Gex,Suisse
1070,Bruxelles,Belgique
1210,Ferney-Voltaire,France
1280,Prevessin,France
1210,Ornex,France
?,?,Suisse
1204,Genève,France
1205,Genève,Suisse
?,?,
?,?,
74270,Vanzy,
1630,Sergy,
1630,Pregnin,
1228,Plan-les-Ouates,Suisse
?,?,
1217,Meyrin,Suisse
1292,Chambésy,Suisse
74190,Passy,
1207,Genève,Suisse
1210,Ornex,
1110,Morges,Suisse
1630,Péron,
1220,DIVONNE LES BAINS,
2311 TX,Leiden,Netherlands
?,?,
1200,Bellegarde sur Valserine,
1280,Prévessin Moëns,
?,?,
?,?,
1210,Ferney-Voltaire,
1220,Grilly,
1210,ORNEX,
1630,St Genis,
1220,Divonne les Bains,
74160,Saint Julien en Genevois,
1210,Ornex,
1210,Ornex,
1205,Genève,Suisse
1202,Genève,Suisse
1280,Prevessin Moens,
1207,Geneve,Suisse
1203,Genève,Suisse
1170,ECHENEVEX,
1220,Divonne les Bains,
1237,Avully,Suisse
1170,Crozet,Suisse
1170,Gex,
1203,Genève,Suisse
1550,Farges,
74520,Jonzier Epagny,
1203,Geneve,Suisse
1630,ST GENIS POUILLY,
1630,PERON,
74000,Annecy,
1210,Ferney-Voltaire,
1170,Gex,
1210,Ferney-Voltaire,
1201,Genève,Suisse
1280,Prévessin-Moëns,
1210,ORNEX,
1630,ST GENIS POUILLY,
1630,Sergy,
1170,Gex,
1170,CESSY,
1202,Genève,
74240,Gaillard,
200050,Shanghai,Chine
1170,Gex,
?,?,
1210,Ferney-Voltaire,
1210,Ferney-Voltaire,France
1218,Grand Saconnex,Suisse
1208,Genève,Suisse
74500,champanges,
1219,Meyrin,Suisse
1290,Versoix,Suisse
1219,Meyrin,Suisse
1280,Prevessin Moens,
1170,GEX,
1170,CESSY,
1180,Rolle,Suisse
1227,Les Accacias,Suisse
1218,Le Grand-Saconnex,Suisse
1210,ORNEX,France
1206,Genève,Suisse
1280,Prevessin,
1630,Saint Genis Pouilly,
1630,Saint Genis Pouilly,
1201,Genève,
?,?,
1210,Ferney-Voltaire,
74190,PASSY,France
?,?,
1630,peron,
1630,peron,
1420,Seyssel,